scenario,repeat,n_train,slope_comparator_train_error,volatility_comparator_train_error,ar_comparator_train_error,slope_comparator_test_error,volatility_comparator_test_error,ar_comparator_test_error,oracle_comparator,oracle_comparator_test_error,selector_comparator,selector_train_error,selector_test_error,selector_oracle_excess,common_head_train_error,common_head_test_error,common_head_generalization_gap,common_head_abs_generalization_gap,common_head_oracle_excess,common_head_train_auc,common_head_test_auc,ar_phi_alt,mixed_ar_phi,mixed_family_probability
slope,24,500,0.022,0.032,0.41,0.02275,0.0275,0.3755,slope,0.02275,slope,0.022,0.02275,0.0,0.018,0.0135,-0.0044999999999999,0.0044999999999999,-0.00925,0.997024,0.997734,1.1,1.1,0.3333333333333333
slope,24,1000,0.022,0.036,0.411,0.02275,0.0275,0.3755,slope,0.02275,slope,0.022,0.02275,0.0,0.011,0.01225,0.00125,0.00125,-0.0104999999999999,0.998144,0.99749625,1.1,1.1,0.3333333333333333
slope,25,200,0.02,0.025,0.355,0.01975,0.03275,0.3775,slope,0.01975,slope,0.02,0.01975,0.0,0.01,0.0115,0.0014999999999999,0.0014999999999999,-0.00825,0.9992,0.997394,1.1,1.1,0.3333333333333333
slope,25,500,0.018,0.026,0.362,0.01975,0.03275,0.3775,slope,0.01975,slope,0.018,0.01975,0.0,0.01,0.01025,0.00025,0.00025,-0.0095,0.999632,0.998383,1.1,1.1,0.3333333333333333
slope,25,1000,0.025,0.024,0.375,0.01975,0.03275,0.3775,slope,0.01975,volatility,0.024,0.03275,0.013,0.01,0.01225,0.00225,0.00225,-0.0075,0.999188,0.99833725,1.1,1.1,0.3333333333333333
slope,26,200,0.035,0.025,0.385,0.02325,0.02775,0.38825,slope,0.02325,volatility,0.025,0.02775,0.0045,0.035,0.02125,-0.01375,0.01375,-0.0019999999999999,0.9967,0.99773725,1.1,1.1,0.3333333333333333
slope,26,500,0.036,0.038,0.38,0.02325,0.02775,0.38825,slope,0.02325,slope,0.036,0.02325,0.0,0.016,0.01075,-0.00525,0.00525,-0.0125,0.994912,0.99875275,1.1,1.1,0.3333333333333333
slope,26,1000,0.027,0.035,0.374,0.02325,0.02775,0.38825,slope,0.02325,slope,0.027,0.02325,0.0,0.012,0.01075,-0.00125,0.00125,-0.0125,0.997444,0.998741,1.1,1.1,0.3333333333333333
slope,27,200,0.025,0.025,0.325,0.0245,0.02825,0.38025,slope,0.0245,slope,0.025,0.0245,0.0,0.0,0.012,0.012,0.012,-0.0125,1.0,0.99715825,1.1,1.1,0.3333333333333333
slope,27,500,0.022,0.024,0.362,0.0245,0.02825,0.38025,slope,0.0245,slope,0.022,0.0245,0.0,0.004,0.012,0.008,0.008,-0.0125,0.99992,0.9977425,1.1,1.1,0.3333333333333333
slope,27,1000,0.028,0.025,0.367,0.0245,0.02825,0.38025,slope,0.0245,volatility,0.025,0.02825,0.00375,0.01,0.01325,0.0032499999999999,0.0032499999999999,-0.01125,0.999588,0.99774475,1.1,1.1,0.3333333333333333
slope,28,200,0.03,0.03,0.38,0.021,0.029,0.37625,slope,0.021,slope,0.03,0.021,0.0,0.015,0.0085,-0.0064999999999999,0.0064999999999999,-0.0125,0.9984,0.9982315,1.1,1.1,0.3333333333333333
slope,28,500,0.032,0.03,0.38,0.021,0.029,0.37625,slope,0.021,volatility,0.03,0.029,0.008,0.018,0.01275,-0.0052499999999999,0.0052499999999999,-0.00825,0.994592,0.99872975,1.1,1.1,0.3333333333333333
slope,28,1000,0.032,0.03,0.366,0.021,0.029,0.37625,slope,0.021,volatility,0.03,0.029,0.008,0.016,0.011,-0.005,0.005,-0.01,0.996568,0.9987725,1.1,1.1,0.3333333333333333
slope,29,200,0.01,0.02,0.37,0.0215,0.03675,0.38375,slope,0.0215,slope,0.01,0.0215,0.0,0.0,0.018,0.018,0.018,-0.0034999999999999,1.0,0.99707725,1.1,1.1,0.3333333333333333
slope,29,500,0.016,0.038,0.388,0.0215,0.03675,0.38375,slope,0.0215,slope,0.016,0.0215,0.0,0.006,0.0115,0.0055,0.0055,-0.0099999999999999,0.999856,0.997739,1.1,1.1,0.3333333333333333
slope,29,1000,0.019,0.04,0.369,0.0215,0.03675,0.38375,slope,0.0215,slope,0.019,0.0215,0.0,0.008,0.0125,0.0045,0.0045,-0.0089999999999999,0.999028,0.9974875,1.1,1.1,0.3333333333333333
slope,30,200,0.035,0.015,0.365,0.02275,0.03275,0.38375,slope,0.02275,volatility,0.015,0.03275,0.01,0.01,0.022,0.0119999999999999,0.0119999999999999,-0.00075,0.9992,0.9978635,1.1,1.1,0.3333333333333333
slope,30,500,0.028,0.024,0.362,0.02275,0.03275,0.38375,slope,0.02275,volatility,0.024,0.03275,0.01,0.01,0.01175,0.0017499999999999,0.0017499999999999,-0.011,0.997888,0.99831975,1.1,1.1,0.3333333333333333
slope,30,1000,0.031,0.022,0.372,0.02275,0.03275,0.38375,slope,0.02275,volatility,0.022,0.03275,0.01,0.009,0.014,0.005,0.005,-0.0087499999999999,0.998852,0.99843925,1.1,1.1,0.3333333333333333
slope,31,200,0.02,0.03,0.36,0.02675,0.03375,0.3745,slope,0.02675,slope,0.02,0.02675,0.0,0.0,0.01375,0.01375,0.01375,-0.013,1.0,0.994202625,1.1,1.1,0.3333333333333333
slope,31,500,0.016,0.018,0.368,0.02675,0.03375,0.3745,slope,0.02675,slope,0.016,0.02675,0.0,0.004,0.01375,0.00975,0.00975,-0.013,0.999936,0.99667175,1.1,1.1,0.3333333333333333
slope,31,1000,0.014,0.017,0.37,0.02675,0.03375,0.3745,slope,0.02675,slope,0.014,0.02675,0.0,0.007,0.01225,0.00525,0.00525,-0.0144999999999999,0.999264,0.99688175,1.1,1.1,0.3333333333333333
slope,32,200,0.02,0.015,0.375,0.02375,0.032,0.387,slope,0.02375,volatility,0.015,0.032,0.00825,0.0,0.0165,0.0165,0.0165,-0.0072499999999999,1.0,0.99618575,1.1,1.1,0.3333333333333333
slope,32,500,0.018,0.026,0.384,0.02375,0.032,0.387,slope,0.02375,slope,0.018,0.02375,0.0,0.014,0.015,0.0009999999999999,0.0009999999999999,-0.00875,0.997296,0.9979665,1.1,1.1,0.3333333333333333
slope,32,1000,0.021,0.029,0.381,0.02375,0.032,0.387,slope,0.02375,slope,0.021,0.02375,0.0,0.009,0.01225,0.00325,0.00325,-0.0115,0.997608,0.997626,1.1,1.1,0.3333333333333333
slope,33,200,0.035,0.06,0.37,0.02475,0.029,0.38425,slope,0.02475,slope,0.035,0.02475,0.0,0.02,0.02075,0.00075,0.00075,-0.004,0.9952,0.99740775,1.1,1.1,0.3333333333333333
slope,33,500,0.04,0.044,0.374,0.02475,0.029,0.38425,slope,0.02475,slope,0.04,0.02475,0.0,0.026,0.01725,-0.0087499999999999,0.0087499999999999,-0.0075,0.995344,0.99721525,1.1,1.1,0.3333333333333333
slope,33,1000,0.032,0.043,0.368,0.02475,0.029,0.38425,slope,0.02475,slope,0.032,0.02475,0.0,0.02,0.017,-0.0029999999999999,0.0029999999999999,-0.00775,0.995096,0.99741375,1.1,1.1,0.3333333333333333
slope,34,200,0.02,0.03,0.375,0.02225,0.029,0.38075,slope,0.02225,slope,0.02,0.02225,0.0,0.0,0.0095,0.0095,0.0095,-0.01275,1.0,0.9986515,1.1,1.1,0.3333333333333333
slope,34,500,0.022,0.022,0.364,0.02225,0.029,0.38075,slope,0.02225,slope,0.022,0.02225,0.0,0.004,0.009,0.0049999999999999,0.0049999999999999,-0.01325,0.999824,0.99827425,1.1,1.1,0.3333333333333333
slope,34,1000,0.027,0.021,0.363,0.02225,0.029,0.38075,slope,0.02225,volatility,0.021,0.029,0.00675,0.008,0.0105,0.0025,0.0025,-0.0117499999999999,0.998872,0.9987665,1.1,1.1,0.3333333333333333
slope,35,200,0.03,0.04,0.43,0.02275,0.03075,0.37325,slope,0.02275,slope,0.03,0.02275,0.0,0.0,0.012,0.012,0.012,-0.01075,1.0,0.99859375,1.1,1.1,0.3333333333333333
slope,35,500,0.024,0.032,0.408,0.02275,0.03075,0.37325,slope,0.02275,slope,0.024,0.02275,0.0,0.008,0.0105,0.0025,0.0025,-0.0122499999999999,0.999696,0.9989855,1.1,1.1,0.3333333333333333
slope,35,1000,0.02,0.032,0.379,0.02275,0.03075,0.37325,slope,0.02275,slope,0.02,0.02275,0.0,0.006,0.00975,0.00375,0.00375,-0.013,0.999444,0.99861525,1.1,1.1,0.3333333333333333
slope,36,200,0.04,0.03,0.36,0.02575,0.0375,0.39325,slope,0.02575,volatility,0.03,0.0375,0.01175,0.01,0.03625,0.0262499999999999,0.0262499999999999,0.0104999999999999,0.9983,0.9940915,1.1,1.1,0.3333333333333333
